도서명,저자,카테고리,내용
채사장의 지대넓얕 10 : 거인의 어깨,"채사장, 마케마케","과학·자연, 성장","과학의 역사로 고대에서 근대에 이르는 과학의 흐름을 검토하면서 과학이 어떤 성과를 만들어 왔는지, 어떤 인물이 시대와 투쟁하며 과학을 지금의 반열에 올려놓았는지를 살펴본다. 프톨레마이오스, 코페르니쿠스, 갈릴레이, 데카르트, 뉴턴 등 오늘날 지식의 기반을 일구어 낸 위대한 거인들을 만나고 그들의 어깨 위에 올라타 놀라운 발견을 꿈꿀 순간을 기대해 본다."
채사장의 지대넓얕 11 : 시공간의 비밀,"채사장, 마케마케","과학·자연, 예술","특별히 상대성이론과 양자역학이라는 초등학생이 이해하기 어려운 난해한 과학적 개념을 친근하고 흥미롭게 탐구한다. 뉴턴으로 대표되는 근대 과학의 시간과 공간에서 아인슈타인이 제안한 새로운 시공간의 개념이 어떻게 파생되었는지 배우고, 이 새로운 개념이 어떻게 현대 과학을 이끌어왔는지 이해할 수 있다."
채사장의 지대넓얕 12 : 철학의 시작,"채사장, 마케마케","철학, 예술","인간을 구해 줄 진리는 어디에 있을까? 우리 시대 나침반이 되어 줄 철학! 소크라테스, 플라톤, 스콜라 철학까지 끝없이 이어지는 질문 속 철학자들의 지혜를 발견하는 위대한 여행! 학교 공부를 뛰어 넘는 특별한 지혜와 철학이 아이의 생각을 넓혀준다."
초등 5·6학년 수학동화 시리즈 세트 - 전5권,박신식 외,"과학·자연, 상상력, 예술","<초등 5·6학년 수학동화> 시리즈는 총 5권으로, 오랫동안 사랑은 고전 속에 초등학교 5~6학년 수학 교과서의 내용을 담았다. 권마다 주인공이 펼치는 모험과 함께 다양한 수학 문제를 해결한다. 각 장마다 수학과 연계된 다양한 읽을거리가 실려 있다."
초등 사고력 플러스,"안소영,서원호","철학, 성장",교과 간 연계와 통합의 정석 10가지 가치 주제를 + 다양한 교과로 풀어내다! 급변하는 미래 사회를 살아가는 어린이들에게 꼭 필요한 통합적 사고력과 학습 능력을 길러 주기 위해 창의융합교육연구회에서 교육 자료를 개발하고 학교 현장에서 꾸준히 창의융합 교육 활동을 펼치고 있는 두 초등 교사의 연구와 고민이 고스란히 담겼습니다.
초등학생을 위한 우리말 생각 사전,우리말알림이팀,"성장, 가족·우정","우리말 속에 담긴 수수께끼를 찾아 떠나는 여행과도 같은 책이다. 수수께끼를 어떻게 찾느냐? 우리 조상님들이 우리말 속에 숨겨 놓은 좋은 생각들을 찾는 우리말 연구가 조현용 선생님이 계신다. 여행을 마치고 나면 여러분은 이 세상을 바라보고, 부모님과 친구들을 생각하는 마음이 달라질 것이다. 틀림없이!"
초등학생을 위한 인물 한국사 세트 - 전5권,윤희진,"역사, 성장","『초등학생을 위한 인물 한국사』는 고학년이 되어 한국사 통사를 본격적으로 배우기 전, 3~4학년부터 역사 공부를 차근히 해 나갈 수 있는 책이다. 인물 이야기를 통해 역사의 전체 흐름을 꿰뚫고 한국사 공부에 흥미를 느낀다면 탄탄한 기본기를 다질 수 있어, 고학년 한국사 공부를 수월하게 해낼 수 있다."
최태성의 한능검 한국사 4,윤상석,"역사, 예술","한국사를 재미있는 만화로 풀어내고, 한국사능력검정시험(한능검)도 합격할 수 있도록 만들어진 책이다. 지금은 ‘한국사 필수’ 시대이다. 어린이부터 성인까지, 모두에게 한국사가 필요하다. 이 책은 모두에게 필요한 한국사를 가장 쉽고 재미있게 배울 수 있도록 도와준다."
춘향이 화학 천재라고?,정완상,"과학·자연, 역사, 철학","고전이야? 과학이야? 고전 속에서 신나게 배우는 엉뚱 발랄 화학 이야기. 낄낄거리며 읽다 보면 화학 공부가 저절로 되는 춘향전. 초등 과학 교과와 중등 기초 과학의 개념이 흥미롭게 녹아 있어, 춘향전 이야기를 읽다 보면 어느새 화학 지식이 머릿속에 쏙쏙 들어오는 마법 같은 경험을 선사한다."
출동! 기후행동 특공대,정종영,"과학·자연, 사회·정의","지구를 생각하는 어린이들의 똑 부러지는 환경 이야기. 플라스틱 쓰레기로부터 지구 환경을 구하기 위해 뛰어든 세 아이의 흥미진진한 이야기를 담은 동화이다. 기후 위기의 심각성을 인식하고, 환경 보호를 위한 첫걸음을 내딛게 하는 데 완벽한 길잡이가 되어 줄 것이다."
친구 때문에 기분이 이상해!,"에일린 케네디 무어, 크리스틴 맥러플린","가족·우정, 철학, 성장","친한 친구 혹은 잘 모르는 또래 아이들과의 사이에서 마주할 수 있는 다양한 감정을 또래 친구들이 겪은 사례를 들어 이해하기 쉽고 바로 실천할 수 있는 소통법을 자세히 알려준다. 비현실적인 조언이 아니라, 비록 어려운 감정을 마주한 순간이라도 아이들이 다양한 감정을 받아들이고 이해하며 다루어 나갈 수 있는 사고법과 말하기와 행동하는 법을 배우게 될 것이다."
카카오톡이 공짜가 아니라고?,이정주,"경제, 과학·자연","유튜브, 카카오톡, 새벽 배송, 무인점포 등 일상에 친숙하게 자리하고 있지만 아무도 자세히 설명해 주지 않았던 여덟 가지 최신 경제 이슈를 소개하는 지식 정보책이다. 플랫폼 서비스, 인공지능, 사물인터넷 등의 발달로 나날이 다양한 경제 상황에 노출되는 아이들이 일상 속 작은 선택에도 기업의 경제 전략을 넘어 보다 지혜로운 결정을 내릴 수 있도록 돕는다."
큰별쌤 최태성의 스토리 한국사 사전,최태성,"역사, 과학·자연","한국사는 이 한 권으로 끝! 개념부터 흐름까지 다 잡은 기본서. 초중등 필수 한국사 용어를 역사적 맥락에 맞게 이야기 형식으로 정리하여, ‘기본 개념을 한 번에 쭉, 부담 없이 가볍게, 흐름을 한눈에’ 볼 수 있도록 사전형식으로 구성한 책이다. 생생한 현장감으로 끝까지 흥미를 잃지 않고 한국사의 흐름을 살필 수 있다."
키코의 세계,영선,"공감·다양성, 용기·리더십, 성장","가상 현실, 틈월드의 행성과 같은 포트마다 산빈, 라완 등 ‘비티’들이 살아간다. 비티는 프로그램된 존재가 아닌 스스로 생겨난 자유의지를 가진 존재이다. 그럼에도 접속자들은 비티를 맘대로 쓰고 삭제할 수 있는 가상 현실로 치부. 틈월드 최강 함선 안드로마케의 함장 루나는 인간 중심적인 세계에 문제를 제기하며 비티를 향한 무관심과 차별에 맞서 싸운다."
트리하우스,조연희,"사회·정의, 성장",재혼 가정에는 아픔과 갈등이 숨어 있기 마련이다. 하지만 민호는 그와 같은 요인들을 통해 정신의 키를 한 뼘 더 키운다. 행복한 가정을 이루기 위해 희망을 품고 기다리는 것이 얼마나 소중한 일인지 일깨워 주는 책이다. 아울러 독자에게 가족의 진정한 의미를 함께 깨우쳐 준다.
페니실린에서 항암제까지,박승준,"성장, 가족·우정","백신과 마취제, 진통제, 비타민C, 항암제 등 인류를 질병에서 구한 대표적인 9가지 약을 다루고 있다. 아편전쟁과 대항해시대 등의 역사를 설명하며 의학에서 꼭 필요한 ‘약리학’이야기를 다뤘다."
편의점을 털어라! : 지리편,이재은,"과학·자연, 사회·정의","편의점에서 주문한 물건의 원재료가 생산되는 곳이 어디이고, 왜 그곳에서 생산되는지 알아보면서 자연스럽게 지리 지식을 쌓을 수 있다. 그리고 이 책을 읽고 난 후에 편의점에 가게 된다면 편의점 음식의 원산지가 궁금해지면서 스스로 세계 지리 지식을 쌓아 가게 될 것이다."
"평화와 인권의 대통령, 김대중",박도,"사회·정의, 성장","2024년, 김대중 대통령 탄신 100주년을 맞아 어린이들을 위한 김대중 이야기가 오랜만에 새롭게 나왔습니다. 어떤 경우에도 꺾이지 않는 의지, 다방면에 대한 박식한 지식과 혜안, 인권과 평화를 향한 굳센 마음 등, 김대중 대통령의 삶과 업적을 한국 현대사와 함께 차근차근 살펴봅니다."
피노키오에게도 미디어리터러시가 필요해,하리라,"예술, 사회·정의","친숙한 동화 주인공들의 이야기로 미디어 리터러시가 무엇인지 알려 준다.백설 공주의 합성 사진을 인터넷에 유포한 범인을 찾는 재판에 거짓말을 하면 코가 길어지는 피노키오가 증인으로 참석하면서, 인터넷에 다른 사람 사진을 함부로 올리거나 사진을 조작하는 행위가 다른 사람의 인권을 해치는 불법임을 알게 된다."
하늘 바다에 뜬 배,"김하은,임지형,정명섭","역사, 과학·자연","재령, 가랑, 산이 세 아이가 아름다운 세 가지 유물과 백제의 자존심을 지켜낸 이야기! 세 아이는 어느 역사 속에서도 눈에 띄지 않는 평범한 아이들로 백제를 무대로 자신의 삶을 더욱 단단하게 채워 스스로의 존재감을 반짝반짝 빛낸다."
하트우드 호텔 모두의 집,캘리 조지,"가족·우정, 사회·정의","가족을 잃은 동물들이 새로운 가족을 이루고, 폭풍우 속에서 시작된 하트우드 호텔의 가을 이야기. 작은 동물들이 함께 지내는 하트우드 호텔을 배경으로 우정과 용기, 공동체에 대한 흥미진진하고 감동적인 이야기를 담아내고 있다."
한 권으로 이해하는 다윈의 세계: 일러스트 종의 기원,안나 브렛,"과학·자연, 공감·다양성","과학의 고전을 눈으로 느끼다! 이 책은 다윈의 진화론을 모든 연령대가 이해하기 쉽게 다시 쓴 입문서다. 다윈의 어린 시절부터 시작해 자연 선택에 의한 진화 개념을 발표한 과정을 설명한다. 현대적 예시와 다윈 이후의 과학적 발견을 통해 진화론을 쉽게 설명하며, 진화론이 사회, 경제, 문화 등 다양한 분야에 미치는 영향을 강조한다."
할아버지 손은 약손,한수연,"용기·리더십, 가족·우정, 역사","《할아버지 손은 약손》은 사랑으로 위대한 삶을 실천한 장기려 박사의 숭고한 정신을 담아낸 책이며, 장기려 박사가 병상에서 작가와 인터뷰한 처음이자 마지막인 책이다. 수술을 받고도 치료비가 없어 어쩌지 못하는 딱한 환자를 뒷문으로 도망치도록 했다는 장기려 박사의 일화는 점점 더 이기적으로 변해가는 현대인들의 마음에 잔잔한 감동을 안겨 준다."
해동 인간,최은영,"과학·자연, 철학, 사회·정의",30년 동안 냉동되어 있다가 고도로 발달된 미래 세상에서 해동되어 살아가는 이현 어린이의 모습을 다루고 있다. 머릿속에 심각한 고통을 일으키는 불치병으로 고통스러운 날들을 살아가던 이현은 의학 박사인 아빠의 노력으로 냉동 인간이 된다. 아무런 의식 없이 냉동 인간이 된 이현은 미래의 과학 기술로 30년 만에 해동되어 새로운 삶을 살게 된다.
햇살 나라,이반디,"사회·정의, 공감·다양성","”너는 햇살 나라의 공주니까 언제든지 엄마에게 올 수 있단다. 햇살은 사라지지 않지.” 어떤 냉혹한 현실에서도 용기와 희망을 주는 대담하고 자유로운 현대적 우화 네 편이 담겨 있다. 전쟁, 죽음, 가난, 재난, 난민 등 부서지고 파괴된 쓰디쓴 현실을 만나지만, 끝까지 자신의 고유함과 천진함과 낙천성을 잃지 않는 어린이들의 이야기이다."
행복한 왕자,오스카 와일드,"역사, 철학, 상상력",오스카 와일드가 남긴 동화집 『행복한 왕자와 다른 이야기들』과 『석류나무의 집』 두 권을 엮은 완역본이다. 인간의 잔인함과 모순을 비판하는 등 놀라운 철학적 깊이를 지닌 아름답고도 신랄한 이야기들은 아이들이 자연스럽게 비판적 사고를 키우도록 돕는다.
"헬로, 새벽이",허혜란,"성장, 과학·자연, 철학",열세 살 생일날 태아로 돌아간 주인공을 통해 기억나지 않지만 우리 모두가 지나온 엄마 배 속에서의 신비하고 생명력 넘치는 시간을 그려낸 동화
환경돌과 탄소 제로의 꿈을,최진우,"과학·자연, 사회·정의","오늘날 심각한 사회 문제인 환경, 기후 위기를 극복하기 위해 ‘기후악당기업’의 큰 변화를 요구하는 책이다. 탄소 제로의 꿈을 실현하려는 세계적인 아이돌 그룹 디씨티가 고군분투하며 개인적, 사회적 변화를 이끌어내는 내용을 담고 있다."
황금 가면 마술사의 비밀,고재현,"상상력, 역사","우리 옛이야기에 나오는 ‘이무기 설화’를 모티프로 펼쳐낸 고재현 동화작가의 토종 판타지 장편동화 이무기뿐 아니라 구렁이, 삼족오, 도아귀 등 우리 옛이야기 속 존재들로 형성된 판타지 공간은 어린이 독자들의 상상력을 자극하고, 대결 구조가 주는 긴장감, 사건 해결을 통한 인과응보의 결말은 진한 카타르시스를 제공한다."
흙에는 뭐든지 있어!,김수주,"과학·자연, 사회·정의","사람들은 흙을 일구어 작물을 생산하고, 흙을 이용해 집을 짓고 여러 도구도 만들었다. 높은 건축물, 산업 발달에 큰 역할을 하는 반도체도 흙으로 만들었다. 하지만 산업이 급속도로 발달하면서 흙이 오염되고 있다. 우리의 소중한 터전인 흙을 어떻게 지켜야 할까?"
2025 대한민국 미래 교육 트렌드,미래 교육 집필팀,"성장, 가족·우정",각자의 분야에서 해답을 찾아 직접 부딪쳐온 37명 교육전문가들이 현재 추진되고 있는 교육 정책을 현장의 시각에서 면밀히 살펴보고 진단하며 미래 교육의 방향성을 모색한다. 나아가 미래 교육의 변화를 어떻게 수용하고 발전시켜나갈지 구체적인 대안을 제시한다.
가르침의 재발견,거트 비에스타,"철학, 과학·자연","이 시대의 교육 문제를 사르트르, 아렌트, 레비나스, 존 듀이, 프레이리, 랑시에르 같은 당대 철학자들의 개념과 이론에 기대어 진단하고 새로운 비전을 제시한다."
계급 천장,"샘 프리드먼, 대니얼 로리슨","사회·정의, 공감·다양성","계급과 불평등 문제를 연구하는 사회학자 샘 프리드먼과 대니얼 로리슨은 영국의 엘리트 직종에서 커다란 ‘계급 임금 격차’를 발견한다. 성별이나 인종과 마찬가지로 출신 계급도 보호받아야 할 속성으로 만들기 위한 정치적 행동을 촉구하며, 계급 천장을 부수는 10가지 방법을 제시한다."
관계 혁명: 홍광수의 K-DISC,홍광수,"가족·우정, 성장","부부, 부모와 자녀, 형제와 자매, 연인과 친구, 사회의 선후배와 동료, 지인 등 모든 인간관계를 건강한 관계, 행복한 관계, 성공적인 관계로 이끌어준다. K-DISC는 표류하는 인간관계를 안전한 항구로 인도한다."
김구와 난징의 독립운동가들,장위안칭,"예술, 역사, 사회·정의, 성장","김구 선생과 임시정부는 일제의 압박을 피해 난징에서 활동하며 독립운동의 기반을 다졌다. 난징에서의 활동은 대한민국임시정부의 외교와 군사 활동에 중요한 역할을 했으며, 중국과의 연대와 협력을 통해 독립운동을 지속할 수 있는 힘이 되었다. 난징에서 밝혀진 김구와 독립운동가들의 새로운 이야기이다."
"김유신, 말의 목을 베다",황윤,"역사, 사회·정의","경주 역사 여행의 시작_신라 통합문화의 근간을 알기위해 통일신라를 이룩한 김유신을 먼저 알아야 한다. 국민통합, 문화, 외교, 군사, 경제의 총력이 만들어낸 신라. 이방인에서 중앙 귀족으로, 죽어 왕이 된 남자 김유신. 천 년이 넘는 시간, 오늘 날까지 기억되고 있는 이유를 안다면 현재 한국 사회가 나아가야 할 방향을 알 수 있다."
나를 위한 용기,지나영,"성장, 철학","존스홉킨스 의대 16년 경력 정신과 의사 지나영이 우리 사회의 마음 건강 증진을 위해 진행한 ‘지사랑 챌린지’를 기반으로 원고를 새롭게 엮어 만든 ‘자기사랑 실천 가이드’이다. 저자는 나를 사랑하는 법을 모르는 사람들, 부정적인 생각에 잠긴 사람들에게 자신을 사랑할 수 있다면 지금 당장 행복해질 수 있다는 긍정의 메시지를 전하고 있다."
나를 찾아가는 소설 쓰기 수업,"최용석, 정윤혜","예술, 성장",현직 교사 2인이 지난 30여 년의 수업 노하우를 한 권으로 정리한 ‘소설 쓰기 수업’ 지침서다. 세상에 하나뿐인 나만의 소설을 완성해보는 경험을 학생들에게 선사해보자.
니체 읽기의 혁명,손석춘,"철학, 성장","니체 철학을 오늘의 삶과 현실로 소환해 독창적 재해석을 감행한다. 동시에 니체의 삶과 철학의 성장 배경 전반을 알기 쉽게 담고 있다. 이는 니체의 진실에 다가가기 위해 반드시 거쳐 가야 하는 일종의 우회로인 셈인데, 니체가 내린 시대 진단과 삶의 문제의식을 제대로 짚어내기 위해서는 이 책을 반드시 통과해야 한다."
다문화사회에서 세계시민으로 살기,후지와라 다카아키,"공감·다양성, 사회·정의",시뮬레이션 역할극을 통해 다문화사회의 다양한 갈등 상황을 체험하고 토론을 통해 공존 해결을 모색해 보는 세계시민교육 교재이다.
다섯 살부터 부모와 함께 읽는 프랑스식 긍정 성교육,샤를린 베르몽,"가족·우정, 과학·자연","프랑스 성교육 부문 장기 베스트셀러! 이 책은 몸, 사랑, 성에 대한 요즘 아이들이 가장 궁금해하는 질문 120가지를 담았다. 질문을 통해 아이와 부모가 함께 토론하며 자연스럽게 성교육을 할 수 있다는 게 최대 장점이며, 작가는 프랑스 성교육 선생님으로 친절한 그림이 모든 내용에 담겨있어 이해하기가 쉽다."
달려라 아동 상담소 빛을 향하여,안도 사토시,"사회·정의, 성장","전직 아동 학대 전담 공무원이 소설로 풀어쓴 생생한 현장 이야기로, 학대 피해 아동을 구하고 사회와 건강하게 연결시키기 위해 애쓰는 이들의 고군분투를 보여 준다."
담배 쉽게 끊는 법,윤병무,"성장, 가족·우정","효과적 금연 실천의 노하우를 제공하는 책이다. 흡연 욕구를 1분 안에 잠재우는 방법을 알면 누구나 쉽게 금연할 수 있기 때문이다. 이 책의 저자 스스로도 놀랐던, ‘흡연 욕구가 사그라든’ 신기한 경험을 이 작은 책에 담은 저자는 그 신기한 노하우를 공개한다."
당과 인민,브루스 J. 딕슨,"사회·정의, 성장",중국의 미래에 관한 통설에 도전하는 여덟 가지 질문을 담고 있다. ➀ 당은 어떻게 권력을 유지할까? / ➁ 지도자를 어떻게 선발할까? / ③ 정책은 어떻게 만들어질까? / ➃ 중국에도 시민사회가 있을까? / ➄ 시위가 정치적 안정을 위협할까? / ⑥ 당은 왜 종교를 두려워할까? / ⑦ 민족주의가 점점 더 강해지고 있을까? / ⑧ 그래서 중국이 민주화될까?
뜨거운 성수동에는 구두가 있다,김형규,"성장, 가족·우정","구두를 모티브로 한 감각적인 일러스트북. 30년 동안 성수동을 지켜 온 저자가 수천, 수만 번의 마우스 클릭으로 한 땀 한 땀 그린 구두 일러스트와 짧지만 묵직한 글에는 삶의 희로애락이 모두 담겨 있다."
런치의 시간,마스다 미리,"예술, 성장","런치의 시간, 우리는 가장 좋아하는 음식을 마음껏 먹으며 많은 것이 아무래도 좋아지는 한때를 선물 받기도 하고, 소중한 사람을 추억하기도 한다. 또 런치의 시간을 통해 계절의 변화를 느낄 수 있고 먼 외국에 온 것 같은 기분을 낼 수도 있다."
마음 근육 튼튼한 내가 되는 법,박상미,"성장, 철학","일상이 버거운 당신을 위한 셀프 치유 가이드 『마음 근육 튼튼한 내가 되는 법』은 과거의 상처에 삶의 주도권을 빼앗기지 않도록 마음 근육을 기르는 법을 알려준다. 거절의 기술, 감정에 이름 붙이기, 걱정 버리기 연습, 사고 습관 만들기 등 상처받은 마음을 돌보는 솔루션과 마음을 돌아볼 수 있도록 구성한 워크북은 당신 마음속의 놀라운 치유 능력을 일깨워준다."
"말씨, 말투, 말매무새",한성우,"예술, 성장, 가족·우정, 과학·자연","살아 숨 쉬는 한국어의 멋과 맛에 천착해 온 국어학자 한성우가 제안하는 아름답고 품격 있는 말매무새와 관계를 가꾸는 데 도움이 되는 원활한 말하기 방법이다. 저자는 태어나고 자란 땅에 따라 달라지는 말씨, 세대와 성별 및 지위 등 현재의 위치에 따라 달라지는 말투의 특징을 소개하고, 그 둘을 말의 씨줄과 날줄로 삼아 펼쳐지는 사람들의 언어생활을 탐색한다."
먼지가 되어,김아직,"성장, 가족·우정","영화 보조출연자로 아르바이트에 갔던 동생이 돌아오지 않으면서, 언니 강유어가 집단 실종 사건의 진실을 파헤쳐가는 이야기이다."
미군 점령 4년사,송광성,"성장, 가족·우정",은폐되고 잘못된 역사를 제대로 조명해야 한다는 저자의 간절함에서 비롯되었다. 저자는 애국이라는 이름으로 행한 온갖 무도한 행위가 결국엔 자기 개인의 영달과 그것을 비호해줄 정권을 위한 충성이라는 것을 말하고 청산하지 못한 친일파세력이 사회 전반에 기득권층이 되었다고 전한다.
미술 수업 새로고침,"임종삼, 김은주, 김효희, 노진영, 박해원, 이다희, 조철수, 홍인선","예술, 과학·자연","이 책에서 소개하는 여덟 가지 수업의 중심에는 우리 아이들의 성장이 있다. 즉 집필진이 말하는 ‘내일의 미술 수업’은 ‘아이들을 위한 배움의 활동’이고, ‘성장을 만드는 미술 교육’이다."
베를린의 한국학 선생님,이은정,"공감·다양성, 성장","보수적인 독일 학계에 뿌리 내리기 힘든 ‘젊은, 외국인, 여성’이라는 악조건을 물리치고 삼십 대에 하빌리타치온이라는 교수 자격을 취득하기까지, 그리고 300년 전통의 베를린-브란덴부르크 학술원의 최초이자 유일한 비유럽인 정회원으로 자리 잡기까지의 여정이 작가 특유의 열정과 분투 속에서 펼쳐진다."
불안한 십 대를 위한 사회정서학습,퍼트리샤 C. 브로더릭,"철학, 성장, 사회·정의",자신의 마음을 이해하고 감정을 조절해 삶을 스스로 관리할 수 있도록 체계적으로 고안된 마음챙김 안내서이다.
비극의 탄생: 시민을 위한 예술을 말하다 세트(전5권),프리드리히 니체,"예술, 사회·정의","28살 청년 니체가 혼신을 담아 집필한, 28살 니체가 쓴 <비극의 탄생>은 비판사상의 선구로 인류 정신사의 새 길을 열었다. 난공불락 텍스트를 본뜻에 가깝게 한국어로 읽는다. 1900쪽, 5권, 25개장, 145개 절마다 제목을 붙이고, 절을 쪼개어 원문을 번역하고, 용어와 구절과 문장마다 ‘주석’을 달았다."
비판적 시민성을 위한 민주주의 교육,"폴 R. 카, 지나 테세","사회·정의, 예술","이 시대 민주주의와 교육을 둘러싼 위험성을 날카롭게 제기하면서 민주주의가 가진 여덟 가지 헤게모니적 신화를 깨뜨리면서, 이 책이 사회 변혁에 대해 던지는 중요한 질문에 주목해 ‘비판적 시민성을 위한 민주주의 교육’ 전반을 진단해 본다."
사서쌤! 저는 100권이나 읽었어요,김규미,"예술, 성장","초등 도서관에 근무하는 사서에게만 보이는 살아있는 도서관 이야기. 도서관에 드나드는 학생들의 뽀얀 속살 같은 에피소드들을 읽다 보면 웃기고 이상하고 찡하다가 고개 끄덕이게 된다. 사서라는 직업도, 도서관이라는 공간도 독서가의 눈으로 새롭게 발견하게 될 것이다. 우리 아이 독서습관 만들기가 고민인 학부모라면 이 책에서 소개하는 독서법에 꼭 귀 기울여 보자."
사회정서학습,김윤경,"사회·정의, 성장","사회정서학습의 개념과 탄생, 이론적 토대, 그리고 사회정서학습을 실행하고 있는 외국의 사례와 다양한 수업 유형까지 자세히 서술한 사회정서학습 개론서로 개정판이다."
삶을 견디는 기쁨,헤르만 헤세,"철학, 성장",헤르만 헤세의 깊은 속마음을 비추는 거울 같은 글 48편이 실려 있다. 평범한 사람들처럼 삶의 절망감에 빠졌다가 그것에 맞서 의미를 찾으려 노력한 헤세와 함께 사색의 강물을 유람하기를 바란다.
생성하는 진로 수업,"조설아, 허인선","성장, 경제","AI 기술을 통해 학생들의 진로 탐색과 준비를 혁신적으로 지원하는 에듀테크 기반 교수-학습 안내서이다. 이 책에 수록된 수업을 통해 학생들은 챗GPT를 활용하여 자신만의 진로 로드맵을 만들고, 구체적인 미래 상황을 상상하는 활동을 할 수 있다."
서균렬 교수의 인문핵,서균렬,"과학·자연, 성장","서울대학교 에너지시스템공학부 서균렬 명예교수가 들려주는 인문학으로 풀어본 원자핵 이야기를 담았다. 원자핵이 무엇인지, 핵분열과 핵융합이 어떻게 일어나는지, 인류와 핵은 어떤 관계를 맺고 있는지 등을 살펴본다. 더불어 핵발전소와 핵폭탄의 위험성, 우리나라 핵 연구와 핵발전소의 역사, 세계 각국의 핵무기 개발 과정과 북한의 핵무기에 대해서도 자세히 알려준다."
"선생님, 무슨 책 읽어요?",한도협 서로이음 기획단,"성장, 예술","전국 사서교사들이 가려 뽑은 책 예순 권에 대한 찰떡같은 서평 모음집이다. 초등 낮은 학년, 초등 높은 학년, 중학생, 고등학생으로 나누고, 문학, 인문 사회, 예술, 과학책 모두 60권을 가려 뽑고 서평을 붙였다. 초등학교, 중학교, 고등학교 마디마다 다섯 사서교사씩 참여해 모두 스무 명의 사서교사가 함께 필진으로 참여했다."
세계사를 움직이는 다섯 가지 힘,사이토 다카시,"역사, 철학","세계사를 움직인 다섯 가지 힘인 욕망, 모더니즘, 제국주의, 몬스터(자본주의, 사회주의, 파시즘), 종교를 통해 역사 전반을 날카롭게 분석하고, 인류가 지나온 자취를 꼼꼼히 살피고 사유하게 하며 역사를 보는 다양한 시각을 제시한다."
숲에서 IB교육으로,임은정,"과학·자연, 성장","교사들이 교육에 대한 사명감으로 유아들을 만나고, 학부모는 신뢰와 기대감으로 자녀들을 온전히 맡기며, 유아들은 자연에서 즐겁게 놀이하며 성장하는 유치원. 이런 교육을 실천하기 위해 임은정 교육 박사가 학부모들과 나눈 8년의 기록을 공개합니다. 세계적 교육 기관 IB 교육도 인증한 저자의 숲유치원은 우리 교육의 희망을 바라는 이에게 명쾌한 답이 될 것입니다."
슈퍼리그,이소영,"성장, 가족·우정","사회 곳곳에 로봇이 상용화되고 쉽사리 가상현실을 넘나드는 2050년, 끝없이 발전하는 기술 속에서 인간은, 그러니까 우리의 존재 가치는 어디까지 유효한지 돌아보게 만드는 소설이다."
"시골살이, 모든 삶이 기적인 것처럼",박중기,"철학, 예술",귀촌을 생각하고 있거나 하려는 사람들이 참고하면 좋을 조언을 저자가 직접 그린 그림과 함께 지인에게 쓴 정성스러운 편지처럼 소개하고 있다.
시의 언어로 지은 집,허서진,"예술, 가족·우정","국어 교사가 쓴 시 에세이+교육서. 시에서 무궁무진한 표현력의 씨앗을 발견하고, 이 씨앗을 아이의 ‘말밭’과 ‘마음밭’에 뿌려 싹 트는 과정을 생생하게 기록했다. 책에서는 아름다운 언어 표현, 시의 언어에 담긴 좋은 말과 바른 행동 표현, 다양하고 복잡한 감정과 타인에 대한 공감 표현 모두가 표현력의 씨앗이라고 말한다."
아버지의 그림자,계승범,"가족·우정, 성장","조선왕조의 국가정체성이라는 시각에서 이 문제에 접근한다. 조선의 국가정체성은, 곧 조선을 독점적으로 지배하던 양반 엘리트 지배층의 정체성과 불가분의 관계였음을 분석하고, 그런 정체성이 당대의 양반 지배 구조와 직결되어 있었음을 여러 측면에서 밝힌다."
"아이들의 성 정체성 고민, 어떻게 대응할까",히다카 야스하루 외,"성장, 공감·다양성",한 아이도 소외당하지 않는 학교 환경을 위해 교사가 알아두면 좋은 LGBT 관련 기초지식과 대응 사례를 담은 안내서이다.
아인슈타인은 없다,권재술,"과학·자연, 성장",사람들에 의해 끊임없이 편견으로 ‘덧칠’되어 사라져 버린 아인슈타인의 참모습을 찾기 위해 진짜 아인슈타인을 재구성하는 과정을 담았다. 아인슈타인의 삶과 과학에 대한 다양한 자료와 친절한 해설이 담긴 이 책을 통해 위대한 과학자이자 순수한 정신을 가진 한 인간으로서의 아인슈타인을 만날 수 있다.
아직도 정신과 앞에서 머뭇거리는 당신에게,허찬희,"철학, 성장","정신과 전문의 허찬희가 45년간 수많은 환자를 돌보며 깨달은 정신치료법과 독자 스스로 자신의 감정을 살피고 자각하는 방법을 안내한다. 청년층뿐만 아니라 사회 전반에 걸쳐 심화하고 있는 우울증과 자살, 공황장애, 부모를 대하는 문제, 아이를 키우며 발생하는 다양한 심리 문제와 화병까지 괴로운 감정의 뿌리를 이해하도록 친절하게 안내한다."
"안녕, 하고 시를 만났다",최인영,"예술, 성장","2023년도 한 학년 100명이 모두 시를 썼고, 그걸로 시집을 냈다. 1년 동안 어떻게 아이들에게 말을 걸고 시를 쓰게 했는지, 수업 과정 전체를 이 책에 담아냈다. 책에 담긴 이야기를 차근차근 따라가다 보면 시를 만나고 시와 노는, 꽤 벅찬 순간을 만날 수 있을 것이다. ‘시를 가르친다’는 두려움에서 한 발짝 벗어나 보자고 이 책을 건넨다."
